municipality_code,municipality_name,municipality_type,district_name,subdistrict_name,cluster,total_population,num_localities,localities
6100,בני ברק,עירייה,תל אביב,תל אביב,ללא שיוך לאשכול,223785,1,"[{""locality_code"": 6100, ""locality_name_he"": ""בני ברק"", ""locality_name_en"": ""Bene Beraq"", ""population"": 223785}]"
6200,בת ים,עירייה,תל אביב,תל אביב,ללא שיוך לאשכול,131099,1,"[{""locality_code"": 6200, ""locality_name_he"": ""בת ים"", ""locality_name_en"": ""Bat Yam"", ""population"": 131099}]"
681,גבעת שמואל,עירייה,המרכז,פתח תקווה,ללא שיוך לאשכול,28628,1,"[{""locality_code"": 681, ""locality_name_he"": ""גבעת שמואל"", ""locality_name_en"": ""Giv'at Shemu'el"", ""population"": 28628}]"
6300,גבעתיים,עירייה,תל אביב,תל אביב,ללא שיוך לאשכול,58557,1,"[{""locality_code"": 6300, ""locality_name_he"": ""גבעתיים"", ""locality_name_en"": ""Giv'atayim"", ""population"": 58557}]"
229,גני תקווה,עירייה,המרכז,פתח תקווה,ללא שיוך לאשכול,25093,1,"[{""locality_code"": 229, ""locality_name_he"": ""גני תקווה"", ""locality_name_en"": ""Ganne Tiqwa"", ""population"": 25093}]"
2200,דימונה,עירייה,הדרום,באר שבע,אשכול רשויות נגב מזרחי,39230,1,"[{""locality_code"": 2200, ""locality_name_he"": ""דימונה"", ""locality_name_en"": ""Dimona"", ""population"": 39230}]"
9700,הוד השרון,עירייה,המרכז,פתח תקווה,אשכול רשויות השרון,65393,1,"[{""locality_code"": 9700, ""locality_name_he"": ""הוד השרון"", ""locality_name_en"": ""Hod HaSharon"", ""population"": 65393}]"
6400,הרצלייה,עירייה,תל אביב,תל אביב,ללא שיוך לאשכול,108650,1,"[{""locality_code"": 6400, ""locality_name_he"": ""הרצלייה"", ""locality_name_en"": ""Herzliyya"", ""population"": 108650}]"
6500,חדרה,עירייה,חיפה,חדרה,ללא שיוך לאשכול,106765,1,"[{""locality_code"": 6500, ""locality_name_he"": ""חדרה"", ""locality_name_en"": ""Hadera"", ""population"": 106765}]"
6600,חולון,עירייה,תל אביב,תל אביב,ללא שיוך לאשכול,192980,1,"[{""locality_code"": 6600, ""locality_name_he"": ""חולון"", ""locality_name_en"": ""Holon"", ""population"": 192980}]"
4000,חיפה,עירייה,חיפה,חיפה,ללא שיוך לאשכול,298312,1,"[{""locality_code"": 4000, ""locality_name_he"": ""חיפה"", ""locality_name_en"": ""Haifa"", ""population"": 298312}]"
1247,חריש,עירייה,חיפה,חדרה,ללא שיוך לאשכול,39001,1,"[{""locality_code"": 1247, ""locality_name_he"": ""חריש"", ""locality_name_en"": ""Harish"", ""population"": 39001}]"
6700,טבריה,עירייה,הצפון,כנרת,אשכול רשויות הכנרת והעמקים,51476,1,"[{""locality_code"": 6700, ""locality_name_he"": ""טבריה"", ""locality_name_en"": ""Tiberias"", ""population"": 51476}]"
2730,טייבה,עירייה,המרכז,השרון,אשכול רשויות השרון,46194,1,"[{""locality_code"": 2730, ""locality_name_he"": ""טייבה"", ""locality_name_en"": ""Tayibe"", ""population"": 46194}]"
2720,טירה,עירייה,המרכז,השרון,אשכול רשויות השרון,27228,1,"[{""locality_code"": 2720, ""locality_name_he"": ""טירה"", ""locality_name_en"": ""Tire"", ""population"": 27228}]"
2100,טירת כרמל,עירייה,חיפה,חיפה,אשכול רשויות המפרץ,31896,1,"[{""locality_code"": 2100, ""locality_name_he"": ""טירת כרמל"", ""locality_name_en"": ""Tirat Karmel"", ""population"": 31896}]"
8900,טמרה,עירייה,הצפון,עכו,אשכול רשויות המפרץ,36251,1,"[{""locality_code"": 8900, ""locality_name_he"": ""טמרה"", ""locality_name_en"": ""Tamra"", ""population"": 36251}]"
2660,יבנה,עירייה,המרכז,רחובות,ללא שיוך לאשכול,57725,1,"[{""locality_code"": 2660, ""locality_name_he"": ""יבנה"", ""locality_name_en"": ""Yavne"", ""population"": 57725}]"
9400,יהוד-מונוסון,עירייה,המרכז,פתח תקווה,ללא שיוך לאשכול,32071,1,"[{""locality_code"": 9400, ""locality_name_he"": ""יהוד-מונוסון"", ""locality_name_en"": ""Yehud-Monoson"", ""population"": 32071}]"
240,יקנעם עילית,עירייה,הצפון,יזרעאל,אשכול רשויות המפרץ,24910,1,"[{""locality_code"": 240, ""locality_name_he"": ""יקנעם עילית"", ""locality_name_en"": ""Yoqne'am Illit"", ""population"": 24910}]"
3000,ירושלים,עירייה,ירושלים,ירושלים,ללא שיוך לאשכול,1028366,1,"[{""locality_code"": 3000, ""locality_name_he"": ""ירושלים"", ""locality_name_en"": ""Jerusalem"", ""population"": 1028366}]"
168,כפר יונה,עירייה,המרכז,השרון,אשכול רשויות השרון,29548,1,"[{""locality_code"": 168, ""locality_name_he"": ""כפר יונה"", ""locality_name_en"": ""Kefar Yona"", ""population"": 29548}]"
6900,כפר סבא,עירייה,המרכז,פתח תקווה,אשכול רשויות השרון,100013,1,"[{""locality_code"": 6900, ""locality_name_he"": ""כפר סבא"", ""locality_name_en"": ""Kefar Sava"", ""population"": 100013}]"
